trade_date,stock_name,ts_code,direction,signal,close,trade_price,shares,fee,slippage_cost,cash_before,shares_before,cash_after,shares_after,total_asset,trade_pnl
2025-10-24,招商银行,600036.SH,买入,金叉,41.95,41.95839,2300,28.9512891,19.297,100000.0,0,3466.751710899989,2300,99951.75171089999,
2025-12-12,招商银行,600036.SH,卖出,死叉,41.74,41.731652000000004,2300,28.79483988,19.200400000000002,3466.751710899989,2300,99420.75647102,0,99420.75647102,-579.2435289800051
2026-02-26,招商银行,600036.SH,买入,金叉,38.7,38.70774,2500,29.030805,19.35,99420.75647102,0,2622.375666019987,2500,99372.37566601999,
2026-04-14,招商银行,600036.SH,卖出,死叉,39.13,39.122174,2500,29.341630499999997,19.565,2622.375666019987,2500,100398.46903551999,0,100398.46903551999,977.7125644999905
2026-04-21,招商银行,600036.SH,买入,金叉,39.87,39.877973999999995,2500,29.908480499999992,19.935000000000002,100398.46903551999,0,673.6255550200003,2500,100348.62555502,
2026-04-22,招商银行,600036.SH,卖出,死叉,39.74,39.732052,2500,29.799039,19.87,673.6255550200003,2500,99973.95651602,0,99973.95651602,-424.5125194999855
2026-04-23,招商银行,600036.SH,买入,金叉,39.81,39.817962,2500,29.863471499999996,19.905,99973.95651602,0,399.1880445200077,2500,99924.18804452001,
2026-04-30,招商银行,600036.SH,卖出,死叉,38.27,38.262346,2500,28.6967595,19.135000000000005,399.1880445200077,2500,96026.35628502001,0,96026.35628502001,-3947.6002309999894
2026-06-09,招商银行,600036.SH,买入,金叉,38.49,38.497698,2400,27.718342559999996,18.4752,96026.35628502001,0,3604.1627424600156,2400,95980.16274246002,
2026-06-26,招商银行,600036.SH,卖出,死叉,36.0,35.9928,2400,25.914816,17.28,3604.1627424600156,2400,89960.96792646001,0,89960.96792646001,-6065.388358559998
