entry_window,exit_window,atr_window,cumulative_return,max_drawdown,sharpe_ratio,trade_count
10,5,20,0.01972090000000004,-0.1695325250069034,0.2016549547299615,24
10,10,20,0.0755094999999999,-0.2400557527765983,0.43780062533794517,20
10,20,20,0.12956239999999974,-0.21281964760520156,0.6035463996418959,17
10,30,20,0.1291325000000001,-0.21311924046832653,0.5896046400857953,15
20,5,20,0.04111039999999999,-0.1695677531721118,0.33143233028433505,16
20,10,20,-0.03637310000000027,-0.22800038775153797,-0.13077982605095384,16
20,20,20,0.012174899999999989,-0.20022868558963158,0.16639275326886926,14
20,30,20,-0.010035599999999922,-0.2177783410678611,0.07160533914068383,14
30,5,20,0.07735340000000002,-0.14064677597414554,0.5438146111877883,12
30,10,20,0.012041999999999886,-0.1892131367657356,0.1581315714269609,12
30,20,20,0.04168130000000003,-0.17691416523201542,0.30188345723814475,12
30,30,20,0.018544299999999847,-0.195195895890929,0.19756058721953304,12
40,5,20,0.07735340000000002,-0.14064677597414554,0.5438146111877883,12
40,10,20,0.012041999999999886,-0.1892131367657356,0.1581315714269609,12
40,20,20,0.04168130000000003,-0.17691416523201542,0.30188345723814475,12
40,30,20,0.018544299999999847,-0.195195895890929,0.19756058721953304,12
55,5,20,-0.07945680000000022,-0.09593383405485012,-0.8888598982745259,10
55,10,20,-0.11238769999999987,-0.12446172305439063,-1.256570745382353,10
55,20,20,-0.11638949999999992,-0.12840908732219192,-1.3021273847966657,10
55,30,20,-0.11638949999999992,-0.12840908732219192,-1.3021273847966657,10
