trade_date,action,reason,price,shares,units,cash_after,stop_price,atr
2025-08-29,BUY,20日高点突破,306.18,99,1,69688.18,286.04857142857145,10.065714285714288
2025-09-05,ADD,上涨0.5ATR金字塔加仓,325.11,80,2,43679.37999999999,299.95428571428573,12.577857142857145
2025-09-15,ADD,上涨0.5ATR金字塔加仓,354.7,61,3,22042.67999999999,320.12285714285713,17.288571428571423
2025-09-17,ADD,上涨0.5ATR金字塔加仓,377.1,58,4,170.87999999998647,339.47428571428577,18.812857142857133
2025-10-14,SELL,跌破离场通道,358.0,298,4,106854.87999999999,339.47428571428577,20.588571428571424
2025-11-13,BUY,20日高点突破,415.6,69,1,78178.47999999998,384.83714285714285,15.381428571428582
2025-11-20,SELL,跌破离场通道,379.39,69,1,104356.38999999998,384.83714285714285,16.027142857142866
2026-02-12,BUY,20日高点突破,375.87,95,1,68648.73999999999,354.0057142857143,10.932142857142862
2026-02-26,SELL,跌破离场通道,346.0,95,1,101518.73999999999,354.0057142857143,11.540000000000004
2026-03-11,BUY,20日高点突破,396.8,75,1,71758.73999999999,369.7471428571429,13.526428571428571
2026-03-16,ADD,上涨0.5ATR金字塔加仓,408.4,75,2,41128.73999999999,381.1842857142857,13.607857142857142
2026-03-27,ADD,上涨0.5ATR金字塔加仓,416.18,60,3,16157.939999999991,382.14714285714285,17.01642857142857
2026-04-03,SELL,跌破离场通道,386.46,210,3,97314.53999999998,382.14714285714285,16.247857142857146
2026-04-13,BUY,20日高点突破,427.13,60,1,71686.73999999998,394.7057142857143,16.21214285714285
2026-04-16,ADD,上涨0.5ATR金字塔加仓,453.98,60,2,44447.93999999997,421.39000000000004,16.294999999999995
2026-05-18,SELL,跌破离场通道,417.23,120,2,94515.53999999998,421.39000000000004,16.08714285714285
